,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,2,0.7191680960548885,0.7189314528937171,0.5208333333333333,0.5185185185185185,0.5185185185185185,0.5178311320600317,0.5170136230620783,"[[19, 0, 0, 1], [12, 7, 0, 1], [10, 0, 9, 1], [12, 0, 2, 7]]",0.5205479452054794,0.95,0.3584905660377358,0.5185185185185185,0.35,1.0,0.5806451612903226,0.45,0.8181818181818182,0.45161290322580644,0.3333333333333333,0.7,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.7405172413793103,0.7358450404427416,0.5125000000000001,0.5185185185185185,0.5185185185185185,0.4999603768734026,0.5003515520924995,"[[21, 0, 0, 0], [12, 7, 0, 1], [8, 0, 11, 1], [17, 0, 0, 3]]",0.5316455696202532,1.0,0.3620689655172414,0.5185185185185185,0.35,1.0,0.7096774193548387,0.55,1.0,0.24,0.15,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,4,0.636006289308176,0.636006289308176,0.4875,0.4875,0.4875,0.452920367303929,0.452920367303929,"[[20, 0, 0, 0], [12, 5, 2, 1], [9, 0, 10, 1], [12, 1, 3, 4]]",0.5479452054794521,1.0,0.37735849056603776,0.3846153846153846,0.25,0.8333333333333334,0.5714285714285715,0.5,0.6666666666666666,0.30769230769230765,0.2,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,0,0.7054594341828384,0.7073320690341967,0.5803571428571428,0.5802469135802469,0.5802469135802469,0.5724788754639502,0.5738768434917321,"[[19, 0, 1, 0], [9, 12, 0, 0], [6, 1, 11, 2], [13, 1, 1, 5]]",0.5671641791044776,0.95,0.40425531914893614,0.6857142857142857,0.5714285714285714,0.8571428571428571,0.6666666666666667,0.55,0.8461538461538461,0.37037037037037035,0.25,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,3,0.7797777425826207,0.7816734906165801,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.6783231889618178,0.6795510233916443,"[[18, 1, 0, 1], [5, 13, 1, 1], [7, 0, 14, 0], [11, 0, 0, 9]]",0.5901639344262295,0.9,0.43902439024390244,0.7647058823529412,0.65,0.9285714285714286,0.7777777777777778,0.6666666666666666,0.9333333333333333,0.5806451612903226,0.45,0.8181818181818182,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.6684027777777778,0.6686385459533608,0.630952380952381,0.6296296296296297,0.6296296296296297,0.6163662758490345,0.6160974896607081,"[[11, 7, 3, 0], [2, 16, 1, 1], [2, 0, 17, 1], [1, 9, 3, 7]]",0.5945945945945946,0.5238095238095238,0.6875,0.6153846153846154,0.8,0.5,0.7727272727272727,0.85,0.7083333333333334,0.48275862068965514,0.35,0.7777777777777778,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,2,0.6070938215102974,0.6060965618555244,0.6065476190476191,0.6049382716049383,0.6049382716049383,0.6056499701848539,0.6043456495652878,"[[13, 3, 1, 3], [3, 14, 0, 3], [3, 2, 12, 3], [4, 0, 7, 10]]",0.6046511627906976,0.65,0.5652173913043478,0.717948717948718,0.7,0.7368421052631579,0.6,0.6,0.6,0.5,0.47619047619047616,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.6309673659673659,0.6300912256467811,0.6291666666666667,0.6296296296296297,0.6296296296296297,0.6226891701441012,0.6225164106629879,"[[14, 3, 3, 1], [4, 14, 1, 1], [2, 0, 15, 3], [5, 4, 3, 8]]",0.6086956521739131,0.6666666666666666,0.56,0.6829268292682926,0.7,0.6666666666666666,0.7142857142857143,0.75,0.6818181818181818,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,3,0.6199494949494949,0.6205262501558798,0.6166666666666667,0.6172839506172839,0.6172839506172839,0.6174812030075187,0.6180884309539281,"[[13, 3, 0, 4], [3, 13, 2, 2], [2, 1, 14, 4], [4, 1, 5, 10]]",0.6190476190476191,0.65,0.5909090909090909,0.6842105263157895,0.65,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.6180555555555556,0.6176268861454046,0.5666666666666667,0.5679012345679012,0.5679012345679012,0.5662138627655869,0.5669053239934467,"[[14, 0, 2, 5], [6, 8, 2, 4], [1, 0, 14, 5], [3, 1, 6, 10]]",0.6222222222222222,0.6666666666666666,0.5833333333333334,0.5517241379310346,0.4,0.8888888888888888,0.6363636363636365,0.7,0.5833333333333334,0.45454545454545453,0.5,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,0,0.6663461538461538,0.6659385881608104,0.6636904761904762,0.6666666666666666,0.6666666666666666,0.6528813678581481,0.6540198452823153,"[[12, 6, 2, 0], [1, 19, 0, 1], [0, 1, 15, 4], [5, 4, 3, 8]]",0.631578947368421,0.6,0.6666666666666666,0.7450980392156863,0.9047619047619048,0.6333333333333333,0.75,0.75,0.75,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,2,0.6359150326797386,0.6356088114258049,0.6309523809523809,0.6296296296296297,0.6296296296296297,0.6294750660604319,0.6286679981350262,"[[12, 5, 1, 2], [2, 14, 1, 3], [0, 4, 14, 2], [3, 2, 5, 11]]",0.6486486486486486,0.6,0.7058823529411765,0.6222222222222222,0.7,0.56,0.6829268292682926,0.7,0.6666666666666666,0.5641025641025642,0.5238095238095238,0.6111111111111112,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,2,0.6364634231467262,0.6338040306582351,0.6077380952380952,0.6049382716049383,0.6049382716049383,0.6075834879406308,0.6050207288302526,"[[13, 1, 3, 3], [3, 12, 0, 5], [1, 0, 16, 3], [3, 0, 10, 8]]",0.65,0.65,0.65,0.7272727272727274,0.6,0.9230769230769231,0.6530612244897959,0.8,0.5517241379310345,0.4,0.38095238095238093,0.42105263157894735,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,3,0.7491276945560833,0.7503730316603291,0.7398809523809524,0.7407407407407407,0.7407407407407407,0.7422237893026321,0.7432984128011543,"[[14, 2, 1, 3], [4, 14, 1, 1], [2, 0, 17, 2], [3, 1, 1, 15]]",0.6511627906976744,0.7,0.6086956521739131,0.7567567567567567,0.7,0.8235294117647058,0.8292682926829269,0.8095238095238095,0.85,0.7317073170731706,0.75,0.7142857142857143,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,0,0.6732340372046255,0.6741817651403708,0.6660714285714286,0.6666666666666666,0.6666666666666666,0.6653159689800867,0.6661356152528409,"[[15, 3, 1, 1], [3, 15, 1, 2], [1, 1, 14, 4], [7, 1, 2, 10]]",0.6521739130434783,0.75,0.5769230769230769,0.7317073170731706,0.7142857142857143,0.75,0.7368421052631577,0.7,0.7777777777777778,0.5405405405405405,0.5,0.5882352941176471,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,4,0.7227272727272727,0.7227272727272728,0.6875,0.6875,0.6875,0.6744833782569633,0.6744833782569633,"[[19, 0, 0, 1], [6, 14, 0, 0], [3, 0, 15, 2], [5, 1, 7, 7]]",0.7169811320754716,0.95,0.5757575757575758,0.8,0.7,0.9333333333333333,0.7142857142857143,0.75,0.6818181818181818,0.4666666666666667,0.35,0.7,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,4,0.7172818729613862,0.7172818729613861,0.7125,0.7125,0.7125,0.7013918529597972,0.7013918529597973,"[[18, 0, 0, 2], [2, 17, 0, 1], [3, 1, 14, 2], [6, 3, 3, 8]]",0.7346938775510204,0.9,0.6206896551724138,0.8292682926829269,0.85,0.8095238095238095,0.7567567567567567,0.7,0.8235294117647058,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,4,0.6481263301915475,0.6481263301915476,0.675,0.675,0.675,0.649843846831273,0.649843846831273,"[[16, 2, 0, 2], [1, 18, 0, 1], [1, 1, 15, 3], [5, 5, 5, 5]]",0.7441860465116279,0.8,0.6956521739130435,0.7826086956521738,0.9,0.6923076923076923,0.75,0.75,0.75,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,0,0.6609260304912479,0.6633484604499096,0.6428571428571428,0.6419753086419753,0.6419753086419753,0.6240605973595825,0.6248217540059369,"[[16, 0, 4, 0], [4, 12, 2, 3], [0, 0, 18, 2], [3, 2, 9, 6]]",0.7441860465116279,0.8,0.6956521739130435,0.6857142857142857,0.5714285714285714,0.8571428571428571,0.679245283018868,0.9,0.5454545454545454,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,3,0.6914249353587588,0.6929196892432186,0.6547619047619048,0.654320987654321,0.654320987654321,0.6497133497133497,0.6503675392564282,"[[14, 4, 0, 2], [0, 18, 1, 1], [0, 6, 13, 2], [3, 7, 2, 8]]",0.7567567567567567,0.7,0.8235294117647058,0.6545454545454545,0.9,0.5142857142857142,0.7027027027027026,0.6190476190476191,0.8125,0.4848484848484849,0.4,0.6153846153846154,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False),concurrency,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,3,0.6881944444444444,0.6905006858710563,0.5666666666666667,0.5679012345679012,0.5679012345679012,0.5699584199584199,0.5722645722645722,"[[7, 11, 1, 1], [1, 17, 1, 1], [0, 7, 14, 0], [2, 10, 0, 8]]",0.4666666666666667,0.35,0.7,0.523076923076923,0.85,0.37777777777777777,0.7567567567567567,0.6666666666666666,0.875,0.5333333333333333,0.4,0.8,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.6531045751633986,0.6560154926167998,0.5577380952380953,0.5555555555555556,0.5555555555555556,0.5443173943173943,0.544181788626233,"[[8, 9, 2, 2], [1, 18, 0, 1], [0, 4, 14, 2], [0, 14, 1, 5]]",0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5538461538461539,0.9,0.4,0.7567567567567567,0.7,0.8235294117647058,0.3333333333333333,0.25,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,2,0.7154738878143133,0.7144972180433173,0.5833333333333334,0.5802469135802469,0.5802469135802469,0.5729144456289978,0.5712426623496275,"[[8, 9, 1, 2], [0, 20, 0, 0], [0, 6, 12, 2], [0, 12, 2, 7]]",0.5714285714285715,0.4,1.0,0.5970149253731344,1.0,0.425531914893617,0.6857142857142857,0.6,0.8,0.43749999999999994,0.3333333333333333,0.6363636363636364,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,2,0.5631493506493507,0.5629308962642295,0.5714285714285714,0.5679012345679012,0.5679012345679012,0.5517857142857142,0.5496031746031745,"[[11, 5, 2, 2], [4, 12, 1, 3], [1, 2, 17, 0], [6, 1, 8, 6]]",0.5238095238095238,0.55,0.5,0.6,0.6,0.6,0.7083333333333333,0.85,0.6071428571428571,0.37499999999999994,0.2857142857142857,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,4,0.5187984496124031,0.5187984496124031,0.5,0.5,0.5,0.4686507936507937,0.46865079365079365,"[[8, 7, 1, 4], [1, 19, 0, 0], [0, 7, 10, 3], [3, 10, 4, 3]]",0.5,0.4,0.6666666666666666,0.6031746031746031,0.95,0.4418604651162791,0.5714285714285715,0.5,0.6666666666666666,0.2,0.15,0.3,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.6771145521145522,0.6775734553512331,0.6535714285714286,0.654320987654321,0.654320987654321,0.6515916149068323,0.652365616133732,"[[15, 0, 3, 3], [4, 10, 2, 4], [1, 0, 16, 3], [1, 2, 5, 12]]",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.625,0.5,0.8333333333333334,0.6956521739130435,0.8,0.6153846153846154,0.5714285714285713,0.6,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": false, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,0,0.6368006993006993,0.6348312181645515,0.575,0.5802469135802469,0.5802469135802469,0.5603654410106024,0.5614245571234818,"[[11, 7, 1, 1], [0, 21, 0, 0], [0, 5, 10, 5], [2, 11, 2, 5]]",0.6666666666666667,0.55,0.8461538461538461,0.6461538461538462,1.0,0.4772727272727273,0.6060606060606061,0.5,0.7692307692307693,0.3225806451612903,0.25,0.45454545454545453,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LogisticRegression(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.67625,0.6759259259259259,0.6672619047619048,0.6666666666666666,0.6666666666666666,0.658505019709288,0.6582042952864995,"[[13, 4, 3, 1], [2, 15, 2, 1], [1, 1, 17, 1], [4, 4, 3, 9]]",0.6341463414634146,0.6190476190476191,0.65,0.6818181818181818,0.75,0.625,0.7555555555555556,0.85,0.68,0.5625000000000001,0.45,0.75,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,3,0.6191666666666666,0.6184362139917695,0.6166666666666667,0.6172839506172839,0.6172839506172839,0.61397704893198,0.613911846502868,"[[13, 2, 2, 3], [2, 14, 4, 0], [3, 1, 14, 3], [2, 4, 5, 9]]",0.65,0.65,0.65,0.6829268292682926,0.7,0.6666666666666666,0.6086956521739131,0.6666666666666666,0.56,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,2,0.6365283267457181,0.6335334016493437,0.5797619047619047,0.5802469135802469,0.5802469135802469,0.5828842131167712,0.581632327541027,"[[7, 3, 2, 8], [1, 12, 0, 7], [0, 0, 15, 5], [2, 0, 6, 13]]",0.4666666666666667,0.35,0.7,0.6857142857142857,0.6,0.8,0.6976744186046512,0.75,0.6521739130434783,0.48148148148148145,0.6190476190476191,0.3939393939393939,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,1,0.603225114416476,0.6042655451026924,0.6059523809523809,0.6049382716049383,0.6049382716049383,0.6000499605150768,0.5999826103185277,"[[11, 3, 3, 4], [2, 15, 0, 3], [1, 0, 15, 4], [2, 5, 5, 8]]",0.5945945945945946,0.5238095238095238,0.6875,0.6976744186046512,0.75,0.6521739130434783,0.6976744186046512,0.75,0.6521739130434783,0.41025641025641024,0.4,0.42105263157894735,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,0,0.6855052841894946,0.6851144307284659,0.6898809523809524,0.691358024691358,0.691358024691358,0.6812820054371994,0.6818020332135198,"[[15, 3, 1, 1], [0, 17, 2, 2], [0, 1, 16, 3], [4, 5, 3, 8]]",0.7692307692307692,0.75,0.7894736842105263,0.7234042553191489,0.8095238095238095,0.6538461538461539,0.761904761904762,0.8,0.7272727272727273,0.47058823529411764,0.4,0.5714285714285714,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,3,0.6870126705653022,0.6882776213510458,0.6785714285714286,0.6790123456790124,0.6790123456790124,0.6760433715220948,0.6769564163181183,"[[12, 3, 1, 4], [1, 17, 1, 1], [0, 3, 15, 3], [3, 4, 2, 11]]",0.6666666666666665,0.6,0.75,0.723404255319149,0.85,0.6296296296296297,0.7500000000000001,0.7142857142857143,0.7894736842105263,0.5641025641025641,0.55,0.5789473684210527,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,0,0.655296329057939,0.6551427588579292,0.6517857142857142,0.654320987654321,0.654320987654321,0.6476374333517191,0.6487122042677598,"[[14, 3, 1, 2], [0, 18, 1, 2], [0, 2, 13, 5], [3, 5, 4, 8]]",0.7567567567567567,0.7,0.8235294117647058,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.6666666666666667,0.65,0.6842105263157895,0.4324324324324324,0.4,0.47058823529411764,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,2,0.6532363517489375,0.6529689763862151,0.6553571428571427,0.654320987654321,0.654320987654321,0.6524778338358659,0.6518299593440652,"[[12, 5, 0, 3], [2, 16, 1, 1], [2, 2, 13, 3], [2, 0, 7, 12]]",0.631578947368421,0.6,0.6666666666666666,0.7441860465116279,0.8,0.6956521739130435,0.6341463414634146,0.65,0.6190476190476191,0.6,0.5714285714285714,0.631578947368421,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""1"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={1: 4}, random_state=42)",memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
0,4,0.6598504273504273,0.6598504273504273,0.675,0.675,0.675,0.6473783941362652,0.6473783941362652,"[[17, 2, 0, 1], [2, 17, 0, 1], [2, 1, 15, 2], [5, 5, 5, 5]]",0.7391304347826088,0.85,0.6538461538461539,0.7555555555555556,0.85,0.68,0.75,0.75,0.75,0.3448275862068966,0.25,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),memory,"[""Time4J"", ""elasticsearch"", ""jsoup"", ""redisson"", ""requery"", ""spring-session""]"
